Wavelength,Flux,BestFit,SkyFlux
4255.005,56.283,56.581,12.150
4255.984,55.518,56.903,11.887
4256.965,53.676,57.076,12.338
4257.944,56.088,56.243,12.882
4258.926,54.320,56.505,12.931
4259.906,54.759,56.376,12.431
4260.886,56.154,55.921,11.459
4261.869,50.768,55.796,10.898
4262.849,52.334,56.190,11.576
4263.832,58.212,56.702,12.227
4264.813,54.293,56.907,12.223
4265.796,54.543,56.395,12.869
4266.778,52.213,56.324,13.312
4267.759,58.145,56.644,12.985
4268.743,57.749,56.300,12.643
4269.725,53.685,55.839,12.318
4270.710,56.299,56.070,11.501
4271.692,58.883,56.420,10.716
4272.677,56.845,56.457,10.515
4273.660,58.670,56.212,10.676
4274.644,59.750,55.997,10.985
4275.629,55.797,56.072,11.270
4276.613,59.842,56.460,11.888
4277.599,58.599,55.304,12.653
4278.583,56.369,55.264,12.626
4279.570,59.384,56.361,12.136
4280.554,56.244,56.241,11.201
4281.539,55.492,56.361,10.620
4282.526,58.904,56.318,10.833
4283.511,56.765,56.257,11.443
4284.499,54.343,56.116,11.559
4285.485,57.784,55.690,11.352
4286.473,51.466,55.073,11.788
4287.459,56.519,54.991,12.130
4288.446,55.817,55.556,11.611
4289.434,55.315,55.475,10.612
4290.421,53.982,54.980,9.789
4291.411,55.587,54.838,9.886
4292.398,56.290,55.205,10.942
4293.388,54.572,55.313,12.114
4294.375,55.182,55.567,12.271
4295.363,54.627,55.871,11.806
4296.354,50.593,55.518,11.468
4297.342,58.374,54.971,11.467
4298.333,55.814,55.246,11.203
4299.322,50.432,55.603,10.959
4300.313,57.048,54.993,10.783
4301.303,56.566,54.985,10.178
4302.292,55.824,55.349,9.224
4303.284,56.964,55.487,9.002
4304.274,54.763,55.488,9.470
4305.267,55.309,55.759,9.830
4306.257,58.036,55.632,9.804
4307.250,54.684,55.369,9.745
4308.241,56.821,55.206,10.236
4309.232,57.548,55.023,11.231
4310.226,55.768,54.776,11.773
4311.217,57.286,54.947,11.609
4312.212,60.394,54.825,11.642
4313.204,58.841,55.275,12.030
4314.198,54.387,55.708,13.946
4315.191,54.394,55.368,15.452
4316.183,55.722,54.591,15.426
4317.179,55.192,54.814,14.810
4318.172,55.906,55.577,14.611
4319.168,56.262,55.589,14.484
4320.161,55.285,54.930,14.399
4321.157,57.470,54.468,13.616
4322.152,53.772,54.630,13.264
4323.146,55.014,54.573,13.038
4324.143,51.105,54.793,11.515
